Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/27/2026 17:34:46.425	WINWORD (0x61A8)	0x48DC	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Security.ActivationFilter.GUIDsToScanFromService","Flags":28147506277843201,"InternalSequenceNumber":36,"Time":"2026-07-27T17:34:46.425Z","Contract":"Office.System.Activity","Activity.CV":"8KIcaexmUEiYTMzyTZ9nwA.1.16.1","Activity.Duration":34,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.ScopedActivationType":2,"Data.RetrievedFromServiceStatus":0,"Data.ActivationType":1}	
07/27/2026 17:34:46.425	WINWORD (0x61A8)	0x48DC	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Security.ActivationFilter.ParseAndGetGUIDs","Flags":28147506277843201,"InternalSequenceNumber":37,"Time":"2026-07-27T17:34:46.425Z","Contract":"Office.System.Activity","Activity.CV":"8KIcaexmUEiYTMzyTZ9nwA.1.16","Activity.Duration":130,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT"}	
07/27/2026 17:34:46.425	WINWORD (0x61A8)	0x48DC	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Security.ActivationFilter.GUIDsToScanFromService","Flags":28147506277843201,"InternalSequenceNumber":38,"Time":"2026-07-27T17:34:46.425Z","Contract":"Office.System.Activity","Activity.CV":"8KIcaexmUEiYTMzyTZ9nwA.1.17.1","Activity.Duration":41,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.ScopedActivationType":4,"Data.RetrievedFromServiceStatus":0,"Data.ActivationType":1}	
07/27/2026 17:34:46.425	WINWORD (0x61A8)	0x48DC	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Security.ActivationFilter.ParseAndGetGUIDs","Flags":28147506277843201,"InternalSequenceNumber":39,"Time":"2026-07-27T17:34:46.425Z","Contract":"Office.System.Activity","Activity.CV":"8KIcaexmUEiYTMzyTZ9nwA.1.17","Activity.Duration":166,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT"}	
07/27/2026 17:34:46.429	WINWORD (0x61A8)	0x48DC	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.GDIAssistant.HandleCallback","Flags":30962256044949761,"InternalSequenceNumber":40,"Time":"2026-07-27T17:34:46.429Z","Contract":"Office.System.Activity","Activity.CV":"8KIcaexmUEiYTMzyTZ9nwA.1.18","Activity.Duration":18,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.GdiFamilyName":"","Data.CloudFontStatus":6,"Data.CloudFontTypes":256}	
07/27/2026 17:34:46.430	WINWORD (0x61A8)	0x6D14	Microsoft Word	SysConfigLiblet	cpabp	Medium	GetMachineDetailsWmi {"Information":"Retrieving HDD SerialNumber from WMI"}	
07/27/2026 17:34:46.433	WINWORD (0x61A8)	0x6D14	Microsoft Word	SysConfigLiblet	cpabo	Medium	GetMachineDetailsWmi {"Information":"Retrieving RAM SerialNumber from WMI"}	
07/27/2026 17:34:46.439	WINWORD (0x61A8)	0x78C	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0006]\tINFO   \tGetAllAccounts:455\tWAM returned '2' accounts for client_id '(pii)'","IsError":false}	
07/27/2026 17:34:46.439	WINWORD (0x61A8)	0x6FFC	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0004]\tINFO   \tAddClientSystemInfoToRequest:1248\tClient-xtra-sku: MSAL.xplat.Win32|1.1.0+012a7425,|,|,|,|","IsError":false}	
07/27/2026 17:34:46.439	WINWORD (0x61A8)	0x78C	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0006]\tINFO   \tGetAllAccounts:712\tDiscovered '2' MSA accounts","IsError":false}	
07/27/2026 17:34:46.448	WINWORD (0x61A8)	0x6350	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0005]\tINFO   \tGetAllAccounts:708\tWAM returned failure in MSA account discovery with client id 'msa WAM FindAllAccountsAsync failed with status: 1, errorMsg: (pii) '","IsError":false}	
07/27/2026 17:34:46.448	WINWORD (0x61A8)	0x6350	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0005]\tINFO   \tGetAllAccounts:712\tDiscovered '0' MSA accounts","IsError":false}	
07/27/2026 17:34:46.448	WINWORD (0x61A8)	0x78C	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0006]\tINFO   \tLogTelemetryData:456\tPrinting Telemetry for Correlation ID: 064b0726-cea6-46bb-bc2f-a0a5f5f0b9f7","IsError":false}	
07/27/2026 17:34:46.448	WINWORD (0x61A8)	0x78C	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0006]\tINFO   \tLogTelemetryData:464\tKey: broker_accounts_count, Value: 2","IsError":false}	
07/27/2026 17:34:46.448	WINWORD (0x61A8)	0x78C	Microsoft Word	Identity Authentication Client	48cmb	Medium	OneAuth log {"Message":"[MSAL:0006]\tINFO   \tLogTelemetryData:464\tKey: start_time, Value: 2026-07-27T17:34:46.000Z","IsError":false}	
